pos,breeder,pigeon,name,color,sex,ent,arrival,speed,to_win,eligible
1,Texas Outlaws,19633-AU15-FOYS,,BCWF,H,1,42:14.0,172.155,0:00:00,Yes
2,Junior Juanich,0402-AU15-JRL,,SIWF,H,1,47:36.0,163.569,0:05:21,Yes
3,Jerry Allensworth,0404-AU15-VITA,Perch Potato,BB,H,1,47:41.0,163.442,0:05:27,Yes
4,Alias-Alias,2013-AU15-ALIA,,BBSP,H,1,47:43.0,163.392,0:05:28,Yes
5,Greg Glazier,5749-AU15-SLI,,BC,H,1,47:44.0,163.366,0:05:30,Yes
6,Dal-Tex R P C,0032-AU15-DRPC,,BC,H,1,47:51.0,163.19,0:05:36,Yes
7,Greg Glazier,5768-AU15-SLI,,BBWF,C,2,47:53.0,163.139,0:05:39,Yes
8,N C Syndicate,1067-AU15-TXHC,,BC,H,1,47:57.0,163.038,0:05:43,Yes
9,Baldwin & Tilson,1194-AU15-TENT,,BB,H,1,48:02.0,162.913,0:05:47,Yes
10,Texas Outlaws,19632-AU15-FOYS,,BC,H,2,48:03.0,162.888,0:05:48,Yes
10,Redtex,0024-AU15-RTEX,,RED,H,1,48:03.0,162.888,0:05:48,Yes
12,Terry Montgomery,0220-AU15-MTHD,,BC,H,1,48:08.0,162.762,0:05:53,Yes
13,Woodsend/Perry,1512-AU15-CERO,,RC,H,1,48:11.0,162.687,0:05:56,Yes
14,Crestview Loft,25360-AU15-ARPU,,BBSP,H,1,48:12.0,162.662,0:05:57,Yes
14,Goshentown Lofts,5834-AU15-VITA,,BB,H,1,48:12.0,162.662,0:05:57,Yes
16,Flyhome Loft,1531-AU15-FLYH,,BB,H,1,48:15.0,162.587,0:06:00,Yes
17,Alias-Alias,2020-AU15-ALIA,,BBSP,H,2,48:16.0,162.562,0:06:01,Yes
18,Skip's Janssens,5313-AU15-GL,,BCWF,H,1,48:17.0,162.537,0:06:02,Yes
18,Bud & Orie Loft,51161-IF15-IRPC,,BLK,H,1,48:17.0,162.537,0:06:02,Yes
20,Milner-Mckinsey,2488-AU15-VITA,,BBWF,C,1,48:21.0,162.437,0:06:06,Yes
21,Shawnie & Lenny Loft,1106-AU15-SMCC,,BC,H,1,48:28.0,162.262,0:06:13,Yes
22,Nanez Family Lofts,2177-AU15-NANE,,BBWF,H,1,48:30.0,162.212,0:06:15,Yes
23,Dal-Tex R P C,0031-AU15-DRPC,,BC,H,2,48:31.0,162.187,0:06:16,Yes
24,Jb & D,1214-IF15-CCC,,BB,H,1,48:36.0,162.063,0:06:21,Yes
25,Silver Dollar Loft,0101-AU15-SDOL,,BC,H,1,48:37.0,162.038,0:06:22,Yes
26,Protege Loft,0022-IF15-PROT,,BC,H,1,48:39.0,161.988,0:06:24,Yes
27,Mike Belus,22304-AU15-JEDD,,BBWF,H,1,48:42.0,161.914,0:06:27,Yes
28,Sierra Ranch Classic,0540-AU15-SIER,,BBWF,H,1,48:44.0,161.864,0:06:29,Yes
29,A P C Loft,15096-AU15-APC,,GRZL,H,1,48:45.0,161.839,0:06:30,Yes
30,Churn Creek Loft,9216-AU15-SRP,,BB,H,1,48:48.0,161.765,0:06:33,Yes
31,Sandstrom Brothers Loft,0302-AU15-SBL,,BBPD,H,1,48:55.0,161.591,0:06:41,Yes
32,Alias-Alias,2049-AU15-ALIA,,BB,H,3,48:56.0,161.567,0:06:41,Yes
33,Silver Dollar Loft,0036-AU15-SDOL,,BC,H,2,49:03.0,161.394,0:06:48,Yes
33,Flying D Loft 2,9512-AU15-FOYS,,DC,H,1,49:03.0,161.394,0:06:48,Yes
35,Clear Springs Loft,0263-AU15-NWFI,,BB,H,1,49:06.0,161.32,0:06:51,Yes
36,Equalizer Loft,0437-AU15-LAF,Lil Dat,BC,H,1,49:10.0,161.221,0:06:56,Yes
37,Mike Belus,22309-AU15-JEDD,,BBWF,H,2,49:13.0,161.148,0:06:58,Yes
38,Clear Springs Loft,0235-AU15-NWFI,,BB,H,2,49:17.0,161.049,0:07:03,Yes
39,Stenman Loft,5261-AU15-VITA,,BC,H,1,49:19.0,161,0:07:04,Yes
40,Skip's Janssens,5302-AU15-GL,,BB,H,2,49:28.0,160.78,0:07:13,Yes
41,Crowley's Ridge Loft,5226-AU15-SIRP,,BB,H,1,49:29.0,160.755,0:07:14,Yes
42,Dave Harrett,0009-AU15-JEDD,,BC,H,1,49:30.0,160.731,0:07:15,Yes
43,Dave Dudley,15046-AU15-PBLO,,BC,H,1,49:32.0,160.682,0:07:17,Yes
44,Dave Dudley,15047-AU15-PBLO,,BC,H,2,49:33.0,160.657,0:07:19,Yes
45,Mc Laughlin Lofts,2186-AU15-MCLO,,BC,H,1,49:34.0,160.633,0:07:19,Yes
46,Little Reata Loft,15441-AU15-JETT,,BCWF,H,1,49:36.0,160.584,0:07:21,Yes
47,Skip's Janssens,5310-AU15-GL,,BBWF,H,3,49:41.0,160.462,0:07:26,Yes
48,Emerson/Krass,1559-AU15-EMER,,BC,H,1,49:45.0,160.364,0:07:31,Yes
49,Non Pareil Loft,0016-AU15-NPL,,BB,H,1,49:48.0,160.291,0:07:34,Yes
50,Andy Skwiat,0042-AU15-ANDY,,DCWF,H,1,49:58.0,160.048,0:07:44,Yes
51,Redtex,0013-AU15-RTEX,,RED,H,2,50:08.0,159.806,0:07:54,Yes
52,American Lofts,3602-AU15-CORP,,WGRZ,H,1,50:11.0,159.734,0:07:56,Yes
53,Woodsend/Perry,1513-AU15-CERO,,RC,H,2,50:15.0,159.637,0:08:01,Yes
54,Alonso Loft,0324-AU15-ALON,,BB,H,1,50:16.0,159.613,0:08:01,Yes
55,Captain Chuck,1609-AU15-CAPT,,RCSP,H,1,50:23.0,159.444,0:08:09,Yes
56,Shang N Dennis Yoh,0929-AU15-JEDD,,BBSP,H,1,50:24.0,159.42,0:08:10,Yes
57,Crestview Loft,25390-AU15-ARPU,,BCWF,H,2,50:30.0,159.276,0:08:15,Yes
58,Little Reata Loft,15442-AU15-JETT,,BC,H,2,50:32.0,159.228,0:08:17,Yes
59,J & M Partridge Loft,1225-AU15-PASO,,BC,H,1,50:35.0,159.156,0:08:20,Yes
60,Shawnie & Lenny Loft,1124-AU15-SMCC,,BC,H,2,50:37.0,159.108,0:08:22,Yes
61,Jb & D,1233-IF15-CCC,,BB,H,2,50:40.0,159.036,0:08:25,Yes
62,B D P Loft,0418-AU15-BDPL,,RC,H,1,50:51.0,158.773,0:08:36,Yes
63,Crowley's Ridge Loft,5228-AU15-SIRP,,BC,H,2,51:00.0,158.559,0:08:45,Yes
64,A P C Loft,15072-AU15-APC,,BBWF,H,2,51:02.0,158.511,0:08:47,Yes
65,T C R Loft,3360-AU15-AA,,BB,H,1,51:24.0,157.989,0:09:10,Yes
66,Family Loft,0153-AU15-FAM,,BB,H,1,51:37.0,157.683,0:09:22,Yes
67,Charlie's Little Loft,28201-AU15-ARPU,Bella,BLCK,H,1,51:43.0,157.541,0:09:29,Yes
68,Oscar/Ralph,0169-IF15-FCI,,BB,H,1,51:48.0,157.424,0:09:33,Yes
69,Junior Juanich,0403-AU15-JRL,,SILV,H,2,51:49.0,157.401,0:09:34,Yes
70,J & M Partridge Loft,1231-AU15-PASO,,BB,H,2,53:07.0,155.592,0:10:52,Yes
71,Jerry Allensworth,0415-AU15-VITA,"""the Duck""",BBWF,H,2,54:23.0,153.869,0:12:08,Yes
72,Flying D Loft 2,9509-AU15-FOYS,,BB,H,2,54:26.0,153.801,0:12:12,Yes
72,Alias-Alias,2025-AU15-ALIA,,BB,H,4,54:26.0,153.801,0:12:12,Yes
74,Jb & D,1204-IF15-CCC,,BBPI,H,3,54:56.0,153.132,0:12:42,Yes
75,The Bailey Team,0413-AU15-GJC,,BC,H,1,55:12.0,152.778,0:12:57,Yes
76,Churn Creek Loft,9212-AU15-SRP,,BB,H,2,55:15.0,152.711,0:13:01,Yes
77,Jb & D,1207-IF15-CCC,,WHGR,H,4,55:24.0,152.513,0:13:09,Yes
78,Goshentown Lofts,5841-AU15-VITA,,BB,H,2,55:28.0,152.425,0:13:13,Yes
79,Jb & D,1201-IF15-CCC,,BB,H,5,55:33.0,152.315,0:13:18,Yes
80,Bud & Orie Loft,51102-IF15-IRPC,,BLK,H,2,55:38.0,152.205,0:13:24,Yes
80,Kwan Loft,0429-AU15-KWAN,,GRIZ,H,1,55:38.0,152.205,0:13:24,Yes
82,Family Loft,0158-AU15-FAM,,BB,H,2,55:40.0,152.161,0:13:26,Yes
83,Andy Skwiat,0041-AU15-ANDY,,BBWF,H,2,55:45.0,152.052,0:13:30,Yes
84,Protege Loft,0020-IF15-PROT,,BC,H,2,55:51.0,151.921,0:13:36,Yes
85,Ganus Family Loft,0780-AU15-GFL,,BBWF,H,1,55:53.0,151.877,0:13:38,Yes
86,Greg Glazier,5721-AU15-SLI,,BB,H,3,55:55.0,151.833,0:13:41,Yes
87,Jerry Allensworth,0423-AU15-VITA,Alice,BB,H,3,55:57.0,151.79,0:13:42,Yes
88,4-Birds,0754-AU15-ESPO,,BB,H,1,55:58.0,151.768,0:13:43,Yes
89,Churn Creek Loft,9215-AU15-SRP,,BBPI,H,3,55:59.0,151.746,0:13:44,Yes
90,Greek Connection,0525-AU15-GRK,,BB,H,1,56:01.0,151.702,0:13:47,Yes
91,American Lofts,3559-AU15-CORP,,BBWF,H,2,56:03.0,151.659,0:13:48,Yes
91,Turk Loft,1508-AU15-ER,,BC,H,1,56:03.0,151.659,0:13:48,Yes
93,Sierra Ranch Classic,0518-AU15-SIER,,BB,H,2,56:05.0,151.615,0:13:51,Yes
94,Leyba's Loft,0147-AU15-FTSU,,BBWF,H,1,56:07.0,151.572,0:13:52,Yes
95,Lonestar Loft,0738-AU15-DEN,,BC,H,1,56:10.0,151.506,0:13:56,Yes
95,Leyba's Loft,0498-AU15-FTSU,,BB,H,2,56:10.0,151.506,0:13:56,Yes
97,4-Birds,0768-AU15-ESPO,,BB,H,2,56:11.0,151.485,0:13:56,Yes
98,Bynum Family Lofts,27676-AU15-ARPU,,BB,H,1,56:12.0,151.463,0:13:57,Yes
99,Sierra Ranch Classic,0535-AU15-SIER,,BB,H,3,56:15.0,151.398,0:14:00,Yes
100,Terry Montgomery,0734-AU15-MTHD,,BC,H,2,56:19.0,151.311,0:14:04,Yes
101,Woodsend/Perry,1502-AU15-CERO,,RC,H,3,56:27.0,151.138,0:14:12,Yes
101,Lonestar Loft,0743-AU15-DEN,,BC,H,2,56:27.0,151.138,0:14:12,Yes
103,The Brand Syndicate,0552-AU15-RRR,,BB,H,1,56:29.0,151.095,0:14:14,Yes
103,J & M Partridge Loft,1028-AU15-PASO,,BC,H,3,56:29.0,151.095,0:14:14,Yes
105,A P C Loft,15085-AU15-APC,,RED,H,3,56:33.0,151.008,0:14:18,Yes
106,Kokomo Loft,32156-AU15-ARPU,,BC,H,1,56:40.0,150.857,0:14:25,Yes
107,Jb & D,1212-IF15-CCC,,BLK,H,6,56:42.0,150.814,0:14:27,Yes
108,Jb & D,1200-IF15-CCC,,BB,H,7,56:43.0,150.793,0:14:28,Yes
109,Dave Harrett,0011-AU15-JEDD,,BC,H,2,56:48.0,150.685,0:14:33,Yes
110,Milner-Mckinsey,2483-AU15-VITA,,BB,H,2,56:55.0,150.535,0:14:40,Yes
111,Turk Loft,1509-AU15-ER,,BC,H,2,56:59.0,150.449,0:14:44,Yes
111,Sierra Ranch Classic,0522-AU15-SIER,,BB,H,4,56:59.0,150.449,0:14:44,Yes
113,Redtex,0100-AU15-RTEX,,RC,H,3,57:02.0,150.385,0:14:47,Yes
114,Redtex,0005-AU15-RTEX,,RED,H,4,57:04.0,150.342,0:14:49,Yes
115,Loizzi/Sikora,1736-AU15-FVC,,BB,H,1,57:07.0,150.278,0:14:52,Yes
116,Sandstrom Brothers Loft,0306-AU15-SBL,,DC,H,2,57:09.0,150.235,0:14:54,Yes
117,Rayce Loft,5007-AU15-UIF,,BC,H,1,57:12.0,150.171,0:14:57,Yes
118,Kwan Loft,0408-AU15-KWAN,,BB,H,2,57:14.0,150.128,0:14:59,Yes
119,Andy Skwiat,0038-AU15-ANDY,,BC,H,3,57:19.0,150.021,0:15:05,Yes
120,A P C Loft,15017-AU15-APC,,BB,H,4,57:27.0,149.851,0:15:12,Yes
121,Family Loft,0067-AU15-FAM,,BB,H,3,57:28.0,149.83,0:15:13,Yes
121,A P C Loft,15061-AU15-APC,,BB,H,5,57:28.0,149.83,0:15:13,Yes
123,Jb & D,2618-IF15-HAM,,BB,H,8,57:30.0,149.787,0:15:16,Yes
124,Sandstrom Brothers Loft,0304-AU15-SBL,,BBPD,H,3,57:36.0,149.66,0:15:21,Yes
124,Bionic Loft,0619-AU15-CAJN,,BC,H,1,57:36.0,149.66,0:15:21,Yes
126,Alias-Alias,2028-AU15-ALIA,,BBWF,H,5,57:37.0,149.639,0:15:22,Yes
127,Iv Aces Loft,7100-IF15-ACES,,BB,H,1,57:41.0,149.554,0:15:26,Yes
128,Jb & D,1208-IF15-CCC,,BC,H,9,57:44.0,149.49,0:15:30,Yes
129,Little Reata Loft,15449-AU15-JETT,,BB,H,3,57:47.0,149.427,0:15:32,Yes
130,Junior Juanich,0412-AU15-JRL,,BC,H,3,57:49.0,149.385,0:15:34,Yes
131,Family Loft,0155-AU15-FAM,,BBPD,H,4,57:51.0,149.342,0:15:37,Yes
131,Rayce Loft,5011-AU15-UIF,,BB,H,2,57:51.0,149.342,0:15:37,Yes
133,Fisher Family Loft,55362-AU15-ARPU,,BC,H,1,57:52.0,149.321,0:15:38,Yes
134,Rayce Loft,5042-AU15-UIF,,BC,H,3,57:53.0,149.3,0:15:39,Yes
135,Stenman Loft,5264-AU15-VITA,,BC,H,2,57:54.0,149.279,0:15:39,Yes
136,Shawnie & Lenny Loft,1121-AU15-SMCC,,DC,H,3,57:59.0,149.174,0:15:44,Yes
137,Redtex,0042-AU15-RTEX,,SIL,H,5,58:01.0,149.131,0:15:47,Yes
138,Redtex,0099-AU15-RTEX,,BC,H,6,58:04.0,149.068,0:15:50,Yes
139,The Brand Syndicate,0535-AU15-RRR,,BC,H,2,58:18.0,148.774,0:16:04,Yes
140,Redtex,0050-AU15-RTEX,,RED,H,7,58:23.0,148.67,0:16:08,Yes
141,Credeur Family Loft,0106-AU15-CFL,,BC,H,1,58:31.0,148.502,0:16:17,Yes
142,Kiko Arana,57067-AU15-ARPU,,BBWF,H,1,58:36.0,148.398,0:16:21,Yes
142,Junior Juanich,0409-AU15-JRL,,BC,H,4,58:36.0,148.398,0:16:21,Yes
144,Nanez Family Lofts,2180-AU15-NANE,,BB,H,2,58:58.0,147.941,0:16:43,Yes
144,Jb & D,1291-IF15-CCC,,BB,H,10,58:58.0,147.941,0:16:43,Yes
146,Woodsend/Perry,1536-AU15-CERO,,RC,H,4,59:00.0,147.899,0:16:46,Yes
147,Non Pareil Loft,0020-AU15-NPL,,BB,H,2,59:18.0,147.527,0:17:04,Yes
148,Loizzi/Sikora,1741-AU15-FVC,,BC,H,2,59:25.0,147.383,0:17:10,Yes
149,Rick Barker,0317-AU15-VIP,,BB,H,1,59:26.0,147.363,0:17:11,Yes
150,Woodsend/Perry,1514-AU15-CERO,,RC,H,5,59:29.0,147.301,0:17:14,Yes
151,Fisher Family Loft,55341-AU15-ARPU,,SILV,H,2,59:37.0,147.137,0:17:22,Yes
152,Debbie Ganus,0770-AU15-GFL,,BC,H,1,59:52.0,146.83,0:17:37,Yes
153,Lonestar Loft,0748-AU15-DEN,,BB,H,3,59:59.0,146.687,0:17:44,Yes
154,Family Loft,0154-AU15-FAM,,BB,C,5,00:04.0,146.585,0:17:50,Yes
155,Ganus Family Loft,0775-AU15-GFL,,BB,H,2,00:08.0,146.504,0:17:53,Yes
156,Milner-Mckinsey,2499-AU15-VITA,Christie,OPWF,H,3,00:29.0,146.078,0:18:15,Yes
157,Shang N Dennis Yoh,0928-AU15-JEDD,,BB,H,2,00:32.0,146.018,0:18:17,Yes
158,Greek Connection,0675-AU15-GRK,,BB,H,2,01:11.0,145.234,0:18:57,Yes
159,Lonestar Loft,0737-AU15-DEN,,BC,H,4,01:38.0,144.697,0:19:24,Yes
160,Crestview Loft,25357-AU15-ARPU,,BB,H,3,01:52.0,144.42,0:19:37,Yes
161,Stenman Loft,5271-AU15-VITA,,DC,H,3,01:53.0,144.4,0:19:39,Yes
162,Credeur Family Loft,0114-AU15-CFL,,BB,H,2,02:08.0,144.105,0:19:53,Yes
163,Debbie Ganus,0715-AU15-GFL,,BC,H,2,02:20.0,143.869,0:20:06,Yes
164,Rayce Loft,5035-AU15-UIF,,BBWF,H,4,02:24.0,143.791,0:20:09,Yes
165,Redtex,0010-AU15-RTEX,,RC,H,8,02:27.0,143.732,0:20:12,Yes
166,Family Loft,0062-AU15-FAM,,BB,C,6,03:03.0,143.031,0:20:49,Yes
167,Fisher Family Loft,55344-AU15-ARPU,,BB,H,3,04:29.0,141.384,0:22:15,Yes
168,The Bailey Team,1552-AU15-GJC,,BC,H,2,04:46.0,141.063,0:22:32,Yes
169,Junior Juanich,0411-AU15-JRL,,BC,H,5,05:03.0,140.744,0:22:48,Yes
169,P J Loft,0010-IF15-PJLO,,BC,H,1,05:03.0,140.744,0:22:48,Yes
171,Junior Juanich,0410-AU15-JRL,,PENC,H,6,05:22.0,140.388,0:23:08,Yes
172,King City,0087-AU15-AIRC,Gypsy,BB,H,1,05:55.0,139.775,0:23:40,Yes
173,Mc Laughlin Lofts,2144-AU15-MCLO,,BB,H,2,06:04.0,139.609,0:23:49,Yes
174,Jb & D,1209-IF15-CCC,,BC,H,11,06:08.0,139.535,0:23:53,Yes
175,Dave Dudley,15065-AU15-PBLO,,BB,H,3,06:09.0,139.516,0:23:55,Yes
176,Andy Skwiat,0049-AU15-ANDY,,DCWF,H,4,06:18.0,139.351,0:24:03,Yes
177,Skip's Janssens,5301-AU15-GL,,BB,H,4,06:24.0,139.241,0:24:09,Yes
178,Centmeyer Loft,1639-AU15-ARNL,,BB,H,1,06:37.0,139.002,0:24:23,Yes
179,Loizzi/Sikora,1742-AU15-FVC,,BB,H,3,07:19.0,138.238,0:25:04,Yes
180,Emerson/Krass,1557-AU15-EMER,,BBWF,H,2,07:25.0,138.129,0:25:11,Yes
181,Sandstrom Brothers Loft,0303-AU15-SBL,,BCWF,H,4,07:31.0,138.021,0:25:17,Yes
182,Redtex,0007-AU15-RTEX,,RC,H,9,07:39.0,137.877,0:25:24,Yes
183,Hi-Cal Connection,0701-AU15-HAWA,,BBWF,H,1,07:54.0,137.608,0:25:39,Yes
183,N C Syndicate,19658-AU15-FOYS,,BB,H,2,07:54.0,137.608,0:25:39,Yes
185,J & M Partridge Loft,1057-AU15-PASO,,BC,H,4,07:55.0,137.59,0:25:40,Yes
186,Fisher Family Loft,55363-AU15-ARPU,,BC,H,4,07:58.0,137.536,0:25:43,Yes
187,Stenman Loft,5270-AU15-VITA,,BC,H,4,08:13.0,137.268,0:25:58,Yes
188,The Bailey Team,1555-AU15-GJC,,BB,H,3,08:22.0,137.107,0:26:08,Yes
189,Baldwin & Tilson,0977-AU15-TENT,,BB,H,2,08:32.0,136.929,0:26:18,Yes
190,A P C Loft,15060-AU15-APC,,BB,H,6,08:49.0,136.628,0:26:35,Yes
191,Stelling Loft,0055-AU15-JHS,,BB,H,1,08:51.0,136.593,0:26:36,Yes
192,Bynum Family Lofts,27690-AU15-ARPU,,BB,H,2,09:22.0,136.047,0:27:08,Yes
193,Tongol 11,1974-AU15-TONG,BLACK NIGTH 9,BB,H,1,09:40.0,135.733,0:27:25,Yes
194,Captain Chuck,1671-AU15-CAPT,,BC,H,2,09:44.0,135.663,0:27:29,Yes
195,Andy Skwiat,0060-AU15-ANDY,,BBWF,H,5,09:59.0,135.402,0:27:44,Yes
196,Milner-Mckinsey,2484-AU15-VITA,,BB,H,4,10:26.0,134.935,0:28:11,Yes
197,Loizzi/Sikora,1738-AU15-FVC,,BC,H,4,10:48.0,134.557,0:28:33,Yes
198,The Brand Syndicate,0532-AU15-RRR,,BB,H,3,11:06.0,134.249,0:28:51,Yes
199,Rick Barker,0302-AU15-VIP,,BB,H,2,12:20.0,132.997,0:30:06,Yes
